ID,job_title,company_name,job_location,job_description
1,AI Data Scientist / Data Engineer,PwC,"New York, NY 10012 (Little Italy area)","PwC Labs is focused on standardizing, automating, delivering tools and processes and exploring emerging technologies that drive efficiency and enable our people to reimagine the possible. Process improvement, transformation, effective use of innovative technology and data & analytics, and leveraging alternative delivery solutions are key areas of focus to drive additional value for our firm.

The AI Lab focuses on implementing solutions that impact efficiency and effectiveness of our technology functions. Process improvement, transformation, effective use of technology and data & analytics, and leveraging alternative delivery are key areas to drive value and continue to be recognized as the leading professional services firm. AI Lab is focused on identifying and prioritizing emerging technologies to get the most out of our investments.

To really stand out and make us ?t for the future in a constantly changing world, each and every one of us at PwC needs to be an authentic and inclusive leader, at all grades/levels and in all lines of service. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you’ll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:
Invite and provide evidence-based feedback in a timely and constructive manner.
Share and collaborate effectively with others.
Work with existing processes/systems whilst making constructive suggestions for improvements.
Validate data and analysis for accuracy and relevance.
Follow risk management and compliance procedures.
Keep up-to-date with technical developments for business area.
Communicate confidently in a clear, concise and articulate manner - verbally and in written form.
Seek opportunities to learn about other cultures and other parts of the business across the Network of PwC firms.
Uphold the firm’s code of ethics and business conduct.

Our team is capability centric, focusing on AI and machine learning techniques that are broadly applicable across all industries. We work with a variety of data mediums including text, audio, imagery, sensory, and structured data. Our work involves the use of supervised/unsupervised machine learning algorithms, traditional statistical models, deep neural networks, terabyte scale data, and simulation modelling. Our work is having a tremendous impact on how PwC & our clients do business.
Job Requirements and Preferences :Basic Qualifications :Minimum Degree Required :
Bachelor Degree
Minimum Years of Experience :
1 year(s)
Preferred Qualifications :Preferred Fields of Study :
Computer and Information Science, Computer Engineering, Computer and Information Science & Accounting, Economics, Economics and Finance, Economics and Finance & Technology, Engineering, Mathematics, Mathematical Statistics, Statistics
Preferred Knowledge/Skills :
Demonstrates some knowledge and/or a proven record of success in the following areas:

Exploring new analytical technologies and evaluating their technical and commercial viability quickly;
Working in 4-week sprint cycles to develop proof-of-concepts and prototype models that can be demoed and explained to data scientists, internal stakeholders, and clients;
Testing and rejecting hypotheses around data processing and machine learning model building;
Demonstrating ability to experiment, fail quickly, and recognize when you need assistance vs. when you conclude that a technology is not suitable for the task;
Building machine learning pipelines that ingest, clean data, and make predictions;
Staying abreast of new AI research from leading labs by reading papers and experimenting with code;
Developing innovative solutions and perspectives on AI that can be published in academic journals/arXiv and shared with clients;
Demonstrating ability to continuously learn new technologies and quickly evaluate their technical and commercial viability;
Applying machine learning techniques for addressing a variety of problems (e.g. consumer segmentation, revenue forecasting, image classification, etc.);
Understanding of machine learning algorithms (e.g. k-nearest neighbors, random forests, ensemble methods, deep neural networks, etc.) and when it is appropriate to use each technique;
Building machine learning models and systems, interpreting their output, and communicating the results;
Moving models from development to production is a plus; and,
Conducting research in a lab and publishing work is a plus.

Demonstrates some abilities and/or a proven record of success learning and applying new skills quickly, including the following areas and technologies:
Programming: Python, R, Java, JavaScript, C++, Unix;
Hardware: sensors, robotics, GPU enabled machine learning, FPGAs, Raspberry Pis, etc.;
Data Storage Technologies: SQL, NoSQL, Hadoop, cloud-based databases such as GCP BigQuery, and different storage formats (e.g. Parquet, etc.);
Data Processing Tools: Python (Numpy, Pandas, etc.), Spark, cloud-based solutions such as GCP DataFlow;
Machine Learning Libraries: Python (scikit-learn, genism, etc.), TensorFlow, Keras, PyTorch, Spark MLlib;
Visualization: Python (Matplotlib, Seaborn, bokeh, etc.), JavaScript (d3); and,
Productionization and containerization technologies: GitHub, Flask, Docker, Kubernetes.
All qualified applicants will receive consideration for employment at PwC without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital, or citizenship status; or any other status protected by law. PwC is proud to be an affirmative action and equal opportunity employer."
2,Data Scientist - Modeling,Disney Streaming Services,"New York, NY","Disney Streaming Services (DSS) is creating the future of digital video entertainment products for one of the largest media brands in the world. We’re focused on delivering extraordinary experiences and distributing the incredible library of Disney content through all forms of interactive media. Our digital technology leadership and capabilities are married with a passion for crafting dynamic consumer-facing applications that integrate live and on-demand multimedia. We create great digital media products for millions of fans around the globe, and we're looking for strong performers who can help us improve what we do every day. This is an opportunity to impact experiences that will be used by millions of users worldwide.
The Data Scientist, Modeling is a critical position within DSS and in the Data organization who specializes in applying machine learning and statistical methods to develop a broad range of complex models that support business needs. You will collaborate across teams to define problems and develop modeling solutions with the Business, Product and Engineering teams.Responsibilities :Develop predictive algorithms across different areas with the aim of better understanding our customer and our business.
Translate business problems as modeling tasks that can deliver actionable insights, accurate predictions, and effective optimization.
Explain how models and systems work to both non-technical and technical stakeholders.
Collaborate with engineering teams to build modeling solutions and help integrate into the products and operational processes.
Process, cleanse, and verify the integrity of data used for analysis.
Enhance data collection procedures to include information that is relevant for creating better models.
Basic Qualifications :At least 2 years of relevant industry experience.
Demonstrated ability to present modeling results and recommendations to business and technical clients.
Demonstrated delivery of modeling solutions in production applications.
Expertise in modern statistical and machine learning algorithms.
Expertise in programming languages for data analysis and modeling (e.g., Python and R) and big data access tools.
Deep knowledge of machine learning algorithms (supervised and unsupervised learning), advanced statistics (time series forecasting, clustering algorithms, probabilistic models) and NLP (topic modeling, sentiment analysis).
Excellent communication and presentation skills.
Ability to gauge the complexity of machine learning problems and a willingness to execute simple approaches for quick effective solutions as appropriate.
Graduate degree in Computer Science, Statistics, Mathematics, Engineering, Economics preferred or equivalent professional experience."
3,Data Science Engineer,Eskalera Inc.,"New York, NY","Join our team @ Eskalera!At Eskalera, our ultimate vision is an environment where every worker, regardless of background, pedigree, race, geography etc, gets a fair shot, and where AI and data-driven methods measurably improve results for progressive businesses that recognize people and talent as their most critical asset. The key to our and our clients’ success is rooted in constructing inclusive cultures.About the RoleSo, you can query large amounts of data using your favorite big-data toolkits, analyze it using established statistical and machine learning techniques, and communicate the derived insights through clear and concise charts and reports. You are a technologist at heart always seeking to push the current boundaries to process more data and run more sophisticated machine learning algorithms. In your past, you may have doubled as a data scientist, a data engineer, or perhaps a machine learning engineer, but deep inside, all you really care about is building best in class products, applications, and systems that extract knowledge from data at any scale and deliver value to the business.Great, we are excited to talk to you! We're looking for people who get things done by using their smarts and whatever tools get the job done. Are you at the beginning of your career and this is where you see yourself in the future? Let us know; we love to work with bright people looking to grow.Your Role: R&D of cutting edge algorithmic solutions to real-world problems producing a shippable product as well as intellectual property (papers and patents).Using statistical and machine learning principles to discover hidden patterns, perform predictive analysis and build models that drive insights.Clean, transform and validate data for uniformity and accuracy.Devise and utilize algorithms and statistical approaches to mine data stores, perform data analysis and improve model performance.Communicate findings internally and externally, generating reports and dashboards, building narratives that resonate with clients and stakeholders.Scale efforts to democratize data internally and externally, be an ambassador for data-driven culture.Become and stay an expert in current and emerging technologies, techniques, and tools.Location: New York or San FranciscoYour Skills and Qualities: *Understanding of key machine learning and data mining approaches.A bayesian at heart but can report significance if asked.Understand the fundamentals of computer science including programming principles, design patterns, database fundamentals, and distributed systems.Make things work and get things done using the programming language of your choice (Python/Scala among others).Are a great communicator, able to articulate complex concepts in easy to understand language.Love to learn new things and can do so quickly.Like working in, and being part of, interdisciplinary teams.About EskaleraEskalera enables large and medium-sized companies to transform their HR operations by improving employee engagement, productivity, and growth. Our end-to-end platform arms HR professionals with the most modern applications of AI, data science, and evidence-based findings on implicit bias and D&I. By capturing, processing, and analyzing data from easy-to-use experiences and integrating other available employee data, companies gain a real-time view of the zeitgeist of their employee base to drive measurable business results.Eskalera is proud to be an equal opportunity workplace. Individuals seeking employment at Eskalera are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation.We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us.This is Eskalera: https://eskalera.com/about-us/How we are different?: https://eskalera.com/solutions/Job Type: Full-timeExperience:relevant: 1 year (Preferred)Education:Bachelor's (Preferred)Benefits:Health insuranceDental insuranceVision insurancePaid time offThis Company Describes Its Culture as:People-oriented -- supportive and fairness-focusedInnovative -- innovative and risk-takingDetail-oriented -- quality and precision-focusedCompany's website:https://eskalera.com/"
4,Data Scientist,Transcend Business Solutions,"Buffalo, NY","One of our top clients is a leader in their industry and they are seeking a Data Scientist to help with project work for roughly 6-12 months. The ideal candidate will at least 5 years of experience doing Data Science work. This individual will work with large sets of data to find opportunities for the organization better identify target customers. This individual will need to have experience manipulating data sets and building statistical models using languages like R, Python, or SQL and have experience presenting data to stakeholders using tools like POWER BI. Understanding of data mining technique such as GLM/Regression, Random Forest, Boosting, and social network analysis are highly desired.Job Types: Full-time, ContractSalary: $40.00 to $55.00 /hourExperience:relevant: 5 years (Required)Data Mining: 5 years (Preferred)Work Location:One locationThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborative"
5,Data Scientist - Hux,Deloitte,"New York, NY 10112 (Midtown area)","Hux Data Scientist

Locations: New York, NY – Greensboro, NC - Chicago, IL – Raleigh, Durham, Chapel-Hill, NC

At Deloitte Digital Marketing & Experience Services, we help marketers optimize their customer experience to win in the marketplace. We're combining data, decisioning and real-time delivery to build and manage customer data ecosystems that enable our clients to acquire, engage and retain customers in a dramatically different and improved manner. With customer data as a foundation, we help clients deliver dynamic, personalized customer experiences across all engagement channels using machine learning and artificial intelligence.
Do you enjoy exploring datasets? Are you passionate about creating algorithms that operate on terabytes of data? If so, Deloitte Digital is seeking creative minds and persistent problem solvers to build and support cutting-edge marketing data science solutions that help our clients deliver customer value at every touchpoint.
We’re growing fast and need brilliant Data Scientists like you to fuel our continuing innovation and help us scale. Along the way, you’ll find exceptional growth opportunities limited only by your hunger for learning and ability to apply best practice methodology in our start-up-like environment.

Work you’ll do

As a Hux Senior Data Scientist, you will be tasked with solving data problems end to end. This means:
Being able to get an understanding of the multi-channel marketing optimization problem space
Performing exploratory data analysis to understand relationships, opportunities to influence outcomes and how to attribute cross channel outcomes
Specifying a research plan
Running experiments and extracting the necessary data
Being able to interpret the models being generated
Developing a proof of concept to verify your ideas
Assisting the Data Engineering team in setting your proof of concept live in our production environment
Closing the loop to make sure the proposed solution is performing as it should once it is released
Because this is a senior role, we’re looking for candidates that can carry out research in an autonomous fashion.

The team

Advertising, Marketing & Commerce

Our Advertising, Marketing & Commerce team focuses on delivering marketing and growth objectives aligned with our clients’ brand values for measurable business growth. We do this by creating content, communications, and experiences that engage and inspire their customers to act. We implement and operate the technology platforms that enable personalized content, commerce and marketing user-centric experiences. In doing so, we transform our clients’ marketing and engagement operations into modern, data-driven, creatively focused organizations. Our team brings deep experience in creative and digital marketing capabilities, many from our Digital Studios.

We serve our clients through the following types of work:
Cross-channel customer engagement strategy, design and development
(web, mobile, social, physical)eCommerce strategy, implementation and operationsMarketing Content and digital asset management solutionsMarketing Technology and Advertising Technology solutions
Marketing analytics implementation and operationsAdvertising campaign ideation, development and executionAcquisition and engagement campaign ideation, development and executionAgile based, design-thinking, user-centric, empirical projects that accelerate results

Qualifications
Master’s degree required, PhD in a quantitative field (engineering, mathematics, physics, machine learning, statistics or computer science) preferred.
3+ years of industry experience outside of academia.
3+ years of experience manipulating big data using opensource frameworks. This means being familiar with tools such as Spark, Kafka, Hadoop, Impala and Luigi. In addition, because we handle very large volumes of data, past work with cloud-based environment is required.
Knowledge of current modeling tools such as XGBoost or Vowpal Wabbit (or equivalent)
Ability to write high-quality Python code and familiarity with unit testing, source control and code review
Experience working in Agile teams and using Scrums to organize work
Demonstrated communication capabilities. Ability to explain your insights to people beyond the data science team. This means knowing how to best craft your message and selecting the right visualizations
Good problem decomposition skills and autonomy when faced with solving data problems.Helpful, but not required:
A proven ability deploying automated data processing pipelines.
A deep interest in Data Science and AI. A good measure of this would be competition participation (Kaggle or other) as well as participation in open courses
If you have code in the open domain (for example Github) or have written about AI/DS please share this with us
Some experience in Ad Tech or Marketing technology is a plus.
How you’ll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.

Benefits

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.Deloitte’s culture

Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.

Corporate citizenship

Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.

Recruiter tips

We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals.]
#LI:PTY

#IND:PTY"
6,Data Science Full-Time Student Opportunity (Graduate),CVS Health,"New York, NY","Data Science Full-Time Student Opportunity (Graduate)
Aetna, a CVS Health company, is the nation's premier health innovation company helping people on their path to better health. We are building a new health care model that is easier to use, less expensive, and puts the consumer at the center of their care.
Who we are:

Aetna’s Analytics & Behavior Change team supports the entire organization by embedding deep analytic insights into key decision processes and focusing on our biggest, most complex problems. We use advanced analytics tools, modeling and machine learning to generate insights by leveraging data within a cutting-edge petabyte-scale Hadoop environment. We’re focused on creating new opportunities that drive change in areas such as member behavior change, digital health, provider efficiency, clinical products/programs, and health care fraud detection and prevention.
Our goal is to make health care simpler, more affordable, and convenient. We are inspired to make a difference by connecting people to the information they need and helping our members feel the joy of achieving their best health in their own way. Our opportunities in Data Science and Data Engineering are designed to enhance your personal and professional growth and build the skills that will lead you to success. Aetna Analytics has the feel of a fresh startup within a 165 year old company, and we’re looking for people who like solving tough challenges and are motivated by a desire to drive change.
What you will do:Collaborate with Analytics teams and business partners to understand their goals and objectivesUse programming skills to explore, analyze and interpret large volumes structured and unstructured data
Utilize predictive modeling and statistical analysis to determine analytical approaches and evaluate scenarios as well as potential future outcomes
Generate insights connecting analytical results with business problems or objectivesPresent and provide recommendations to internal teams and stakeholdersSupport the design of programs/campaigns that will improve the quality of health care, lower costs, and help our members achieve their best health
Required QualificationsExperience with data science techniques including mathematical and statistical analyses, modeling and data visualizationKnowledge of R or Python and SQL
Preferred QualificationsAbility to communicate technical concepts and implications to peers, managers, and business partnersExcellent problem solving and critical thinking abilitiesStrong collaboration and communication skills within and across teamsA passion to help transform health care
EducationCurrently pursuing a Master’s degree with an anticipated graduation date between December 2019 and August 2020Preferred/relevant majors include Statistics/Biostatistics, Mathematics, Computer Science, Data Science/Health Data Science, Engineering3.3+ cumulative GPA
Business OverviewIt’s a new day in health care.
Combining CVS Health and Aetna was a transformative moment for our company and our industry, establishing CVS Health as the nation’s premier health innovation company. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health. As a CVS Health colleague, you’ll be at the center of it all.
We offer a diverse work experience that empowers colleagues for career success. In addition to skill and experience, we also seek to attract and retain colleagues whose beliefs and behaviors are in alignment with our core values of collaboration, innovation, caring, integrity and accountability.
CVS Health is an equal opportunity/affirmative action employer. Gender/Ethnicity/Disability/Protected Veteran – we highly value and are committed to all forms of diversity in the workplace. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities. We comply with the laws and regulations set forth in the following EEO is the Law Poster: EEO IS THE LAW and EEO IS THE LAW SUPPLEMENT. We provide reasonable accommodations to qualified individuals with disabilities. If you require assistance to apply for this job, please contact our Advice and Counsel Reasonable Accommodations team. Please note that we only accept applications for employment via this site.
If technical issues are preventing you from applying to a position, contact Kenexa Helpdesk at 1-855-338-5609 or cvshealthsupport@us.ibm.com. For technical issues with the Virtual Job Tryout assessment, contact the Shaker Help Desk at 1-877-987-5352."
7,Data Scientist,Campus Labs,"Buffalo, NY 14202 (Central Business District area)","Summary: The Data Scientist is responsible for collaborating with and supporting our product, sales, leadership, and marketing teams with insights gained from analyzing data from multiple sources. The Data Scientist will build and deploy predictive modeling, using a variety of methods, algorithms, and technical tools. Additionally, the Data Scientist will use internal and institutional data to find opportunities for product and process optimization and test the effectiveness of different courses of action. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.Responsibilities: Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomesWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutionsMine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategiesAssess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data setsCoordinate with different functional teams to implement models and monitor outcomesDevelop processes and tools to monitor and analyze model performance and data accuracyShare and present findings effectively and creatively to internal teams and to our member campuses.Other duties as assignedEducation: BS/MS/PhD in in a STEM field with a deep understanding of mathematics, statistics, and computer scienceQualifications/Experience: Experience using statistical computer languages (e.g., R [required], Python) to clean, shape, and draw insights from large data setsExperience creating, deploying, and maintaining predictive modelsExperience using a variety of machine learning techniques (e.g., clustering, decision tree learning, artificial neural networks, random forest, etc.)Experience visualizing, reporting, and presenting data for stakeholdersExperience leveraging the Microsoft Azure development stack for scaling solutions, preferredCompletion of data science certificate or certification, preferredExperience querying relational databases using SQL, preferredExperience working in higher education, preferredExperience working with Big Data technologies, preferredSkills/Competencies: CuriosityAttention to detailStrong problem-solving skillsKnowledge of statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applicationsAbility to learn new techniques and tools as needed. A self-starter, always exploring ways to improve yourself and your workAbility to meet deadlines and detail orientedAbility to understand stakeholder needs and explain complex conceptsExcellent written and verbal communication skills for coordinating across teamsA commitment to Equal Opportunity Employer/Affirmative Action EmployerWe are committed to creating and maintaining a workplace in which all of our employees have an opportunity to participate in and contribute to the success of the business. We are dedicated to providing every Campus Labs employee with the best possible employment experience regardless of their race, national origin, sex, sexual orientation, socioeconomic status, familial status, religion, age, disability, gender identity, gender expression, results of genetic testing/genetic information, service in the military, veteran status, or any other status protected by federal, state, or local laws. Diverse candidates are strongly encouraged to apply. We highly value the many identities, perspectives, and experiences of all of our employees.Job Type: Full-timeExperience:relevant: 1 year (Preferred)"
8,Data Scientist,Desh Technology Inc.,"New York, NY","Selecting features, building and optimizing classifiers using machine learning techniquesData mining using state of the art methodsExtending business data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad hoc analysis and presenting results in a clear mannerCreating automated anomaly detection systems and constant tracking of its performanceSkills and QualificationsMin 8 yrs of experienceHands on experience in PythonExcellent understanding of machine learning techniques and algorithms.Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc Excellence in at least one of these is highly desirableGreat communication skillsExperience with data visualization tools, such as GGplot, etc.Proficiency in using query languages such as SQL, Hive, PigExperience with NoSQL databases, such as MongoDBGood applied statistics skills, such as distributions, statistical testing, regression, etc.Good scripting and programming skillsData oriented personalityJob Types: Full-time, ContractSalary: $70,000.00 to $120,000.00 /yearExperience:relevant: 3 years (Required)Education:Bachelor's (Required)Work authorization:United States (Required)Contract Length:More than 1 yearVariesContract Renewal:LikelyAdditional Compensation:BonusesWork Location:Multiple locationsFully RemoteOne locationThis Company Describes Its Culture as:Team-oriented -- cooperative and collaborativePeople-oriented -- supportive and fairness-focusedStable -- traditional, stable, strong processesOutcome-oriented -- results-focused with strong performance cultureAggressive -- competitive and growth-orientedInnovative -- innovative and risk-takingDetail-oriented -- quality and precision-focusedSchedule::Monday to Friday"
9,Data Scientist - 64411BR,AETNA,"New York, NY 10016 (Gramercy area)","Description:
Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves moderately complex analytical problems.64411Fundamental Components:
Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions. Explores, examines and interprets large volumes of data in various forms. Performs analyses of structured and unstructured data to solve moderately complex business problems. utilizing advanced statistical techniques and mathematical analyses. Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs. Uses data visualization techniques to effectively communicate analytical results and support business decisions. Creates and evaluates the data needs of assigned projects and assures the integrity of the data. Explores existing data and recommends additional sources of data for improvements. Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics.Background Experience:
Demonstrates good written and verbal communication skills. Able to present information to various audiences.Effectively resolves problems and roadblocks as they occur.Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.Ability to work with large data sets from multiple data sources.3 years of relevant programming or analytic experience. Masters degree preferred.Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.Potential Telework Position:
NoPercent of Travel Required:
0 - 10%EEO Statement:
Aetna is an Equal Opportunity, Affirmative Action EmployerBenefit Eligibility:
Benefit eligibility may vary by position. Click here to review the benefits associated with this position.Candidate Privacy Information:
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.
#LI-DT1"
10,Data Scientist,New York City DEPARTMENT OF TRANSPORTATION,"Manhattan, NY","This candidate will serve as Data Scientist in NYC DOT’s Bike Share Program, which is responsible for planning and oversight of the Citi Bike system, dockless bike share services, and advance planning for other potential shared micromobility services. Citi Bike is a public transportation service and a public-private partnership that is among the largest and most successful bike sharing system in the world. It currently consists of 13,000 bicycles at over 750 rental stations in Manhattan, Brooklyn, and Queens. It will expand into new neighborhoods and boroughs over the next five years, ultimately doubling the size of its existing service area and tripling its number of bikes. Dockless bike share is a newer service model that was piloted at a small scale in 2018 and will be piloted at a larger scale—including a full-borough demonstration project in Staten Island—in 2019 and beyond.
Under the direction of the Executive Director and senior Program staff, this candidate will perform research and analysis activities related to bike share program data that will inform current and future planning; conduct economic research and studies involving estimates and forecasts regarding bike share transportation services; analyze data, develop predictive models to answer complex and nuanced questions about the programs and anticipate future needs and behavior of the systems; collect, classify, evaluate, and analyze data, develop statistical models, and use programming language to examine complex and nuanced questions about bike share services; prepare reports and briefing materials based on databases that underlie the bike share systems and DOTs management of same; monitor vendor compliance with governmental regulations, DOT policies, and contract terms; establish and monitor best practices, policies, procedures and documentation around bike share data; plan, design, maintain, and support unit internal databases; communicate technical issues to technical and non-technical audiences; and perform related duties.
Candidate should be proficient in Python, SQL, and GIS, and possess advanced statistical analysis abilities and data visualization skills. Candidate should have proven experience working with geospatial and time-series data.
Minimum Qual Requirements
1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.

To be appointed to Assignment Level II and above, candidates must have:

1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or

2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or

3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above.

NOTE:

Probationary Period

Appointments to this position are subject to a minimum probationary period of one year.
Preferred Skills
Experience working with distributed computing paradigms, experience in front end development with Javascript, and fluency in other programming languages, such as Scala, R, etc., are highly desirable. Very strong preference given to candidates demonstrating strong creative and analytical problem-solving skills and having experience or demonstrated interest in transportation dynamics, transportation policy, bike share, micromobility, and/or cycling. Experience working with the public, community groups, and New York City agencies, and strong verbal and written communication skills all desired.
To Apply
All resumes are to be submitted electronically.
Current City Employees:
Please log into Employee Self Service (ESS) at https://hrb.nycaps.nycnet, follow the Careers link and search for Job ID number 408892.
All other applicants:
Please go to www.nyc.gov/careers/search and search for Job ID Number 408892.
If you do not have access to a personal computer:
Please visit your local public library. Most public libraries have computers available for use.
No phone calls, faxes or personal inquiries permitted.
Only those applicants under consideration will be contacted.
For more information about DOT, visit us at: www.nyc.gov/dot.
Work Location
55 Water St Ny Ny
Residency Requirement
New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
