,Field,Skill
15,Analysis,visualization
17,Analysis,data analysis
45,Analysis,statistical analysis
94,Analysis,web analytics
139,Analysis,etl techniques
36,Analytics,tableau
115,Analytics,data cleansing
150,Analytics,structure and unstructured data
7,Business,marketing
8,Business,technology
10,Business,knowledge
14,Business,management
30,Business,reporting
49,Business,microsoft
52,Business,business intelligence
59,Business,planning
60,Business,spss
65,Business,a/b testing
71,Business,healthcare analytics
72,Business,marketing optimization
80,Business,project management
98,Business,business analysis
102,Business,microsoft office
109,Business,strong presentation skills
111,Business,ms office
116,Business,team leadership
117,Business,team management
131,Business,classifications
140,Business,develop kpis
141,Business,developing data models
151,Business,designing experiments
152,Business,mlr
153,Business,automating it tasks
154,Business,understanding of cloud computing concepts
155,Business,information assurance concepts
156,Business,knowledge of federal security regulations
157,Business,network protocals
158,Business,deadline management
159,Business,automating complex processes
160,Business,writing clearly and succinctly
161,Business,validate analytic procedures
162,Business,financial industry working knowledge
163,Business,devlope apis
164,Business,behaviroal finance
165,Business,technical teaching
166,Business,quality by design experience
167,Business,writing clearly
168,Bussines,hospital or managed care environment
12,Mathematics,statistics
19,Mathematics,mathematics
29,Mathematics,regression
58,Mathematics,applied math
76,Mathematics,matlab
169,Mathematics,build statisical learning models
170,Mathematics,statisical learning models
171,Mathematics,mathlab
172,Mathematics,regerssion
173,Mathematics,mathlab
1,Programming/Technical,r
2,Programming/Technical,c
3,Programming/Technical,c++
5,Programming/Technical,python
9,Programming/Technical,owl
11,Programming/Technical,git
13,Programming/Technical,sql
22,Programming/Technical,spark
23,Programming/Technical,java
24,Programming/Technical,big data
26,Programming/Technical,hadoop
27,Programming/Technical,aws
28,Programming/Technical,scala
32,Programming/Technical,linux
33,Programming/Technical,data mining 
34,Programming/Technical,agile
35,Programming/Technical,scikit
37,Programming/Technical,pandas
38,Programming/Technical,numpy
39,Programming/Technical,sas
40,Programming/Technical,tensorflow
41,Programming/Technical,natural language processing
42,Programming/Technical,nlp
43,Programming/Technical,javascript
44,Programming/Technical,javascript
46,Programming/Technical,software development
47,Programming/Technical,asp
50,Programming/Technical,simulation
54,Programming/Technical,machine learning models
55,Programming/Technical,machine learning models
56,Programming/Technical,nosql
62,Programming/Technical,d3
63,Programming/Technical,scipy
64,Programming/Technical,docker
66,Programming/Technical,etl
67,Programming/Technical,hive
68,Programming/Technical,building machine learning model
69,Programming/Technical,spark ml
70,Programming/Technical,impala
73,Programming/Technical,powerbi
74,Programming/Technical,stack
77,Programming/Technical,programming skills
78,Programming/Technical,attention to detail
82,Programming/Technical,html
85,Programming/Technical,data structures
86,Programming/Technical,postgres
87,Programming/Technical,perl
88,Programming/Technical,mapreduce
89,Programming/Technical,pig
91,Programming/Technical,problem solving skills
92,Programming/Technical,stata
93,Programming/Technical,mongodb
95,Programming/Technical,power bi
96,Programming/Technical,qlik
100,Programming/Technical,solr
