,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,China,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Vietnam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M01,5.810216,NA,6.213296,5.306584,6.831543,NA,NA,NA,NA,7.9,0.468379,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.9,0.7,2.856077,7.751852,6.9,NA,5.482747,1.241434,NA,NA,NA,13.8,NA,NA,NA,NA,2.228275,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7.185925,3.13,NA,9.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.182138,NA,NA,NA,1.5,NA,5.4,NA,NA,NA,NA
1990M02,5.745122,NA,6.406219,5.145882,6.749932,NA,NA,NA,NA,7.7,0.4568,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.8,0.7,2.615326,7.696296,6.9,NA,5.452225,1.323013,NA,NA,NA,13.7,NA,NA,NA,NA,2.224679,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,7.161031,3.13,NA,9.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.959847,NA,NA,NA,1.5,NA,5.3,NA,NA,NA,NA
1990M03,5.622835,NA,6.22648,4.967532,6.670389,NA,NA,NA,NA,7.3,0.44517,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.6,0.7,3.13525,7.651852,6.9,NA,5.383208,1.346259,NA,NA,NA,13.4,NA,NA,NA,NA,1.991986,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,7.200287,3.13,NA,9.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.976685,NA,NA,NA,1.6,NA,5.2,NA,NA,NA,NA
1990M04,5.750094,NA,6.348445,5.055378,6.574611,NA,NA,NA,NA,7.6,0.438875,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.6,0.6,3.842323,7.618519,6.9,NA,5.539168,1.302749,NA,NA,NA,13.2,NA,NA,NA,NA,2.155126,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,7.597992,3.13,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.847875,NA,NA,NA,1.5,NA,5.4,NA,NA,NA,NA
1990M05,5.764293,NA,6.528841,5.241842,6.52407,NA,NA,NA,NA,7.8,0.439314,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.6,0.6,4.733726,7.596296,6.9,NA,5.5834,1.186595,NA,NA,NA,13.2,NA,NA,NA,NA,2.100644,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,7.769382,3.13,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012595,NA,NA,NA,1.6,NA,5.4,NA,NA,NA,NA
1990M06,5.648854,NA,6.597526,5.318382,6.475429,NA,NA,NA,NA,7.6,0.450653,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.5,0.6,2.547183,7.585185,6.9,NA,5.500274,1.18194,NA,NA,NA,13.2,NA,NA,NA,NA,2.101811,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,7.914875,3.13,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.645762,NA,NA,NA,1.7,NA,5.2,NA,NA,NA,NA
1990M07,5.803347,NA,6.926419,5.434984,6.506575,NA,NA,NA,NA,7.9,0.469902,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.3,0.5,2.389497,7.6,7,NA,5.661346,1.291826,NA,NA,NA,13.2,NA,NA,NA,NA,2.108356,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,7.934736,3.13,NA,9.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.177852,NA,NA,NA,1.7,NA,5.5,NA,NA,NA,NA
1990M08,5.90006,NA,7.246927,5.463709,6.522794,NA,NA,NA,NA,8.1,0.492331,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.3,0.5,2.553621,7.6,7.1,NA,5.783368,1.460316,NA,NA,NA,13.3,NA,NA,NA,NA,1.991464,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,8.096933,3.13,NA,9.2,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.191893,NA,NA,NA,1.7,NA,5.7,NA,NA,NA,NA
1990M09,6.037763,NA,7.386191,5.5632,6.49368,NA,NA,NA,NA,8.5,0.508099,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.3,0.5,2.6568,7.6,7.2,NA,5.938893,1.541432,NA,NA,NA,13.3,NA,NA,NA,NA,2.090744,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.304924,3.13,NA,9.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.545431,NA,NA,NA,1.8,NA,5.9,NA,NA,NA,NA
